station,year,month,tmax,tmin,af,rain,sun
Oxford,2015,1,8.4,1.6,10.0,53.6,81.0
Oxford,2015,2,7.5,1.0,10.0,46.2,80.8
Oxford,2015,3,11.4,3.3,1.0,25.6,122.9
Oxford,2015,4,15.9,4.5,0.0,22.5,214.1
Oxford,2015,5,16.8,7.7,0.0,55.6,183.3
Oxford,2015,6,21.1,10.2,0.0,28.9,242.9
Oxford,2015,7,22.6,12.5,0.0,47.8,201.0
Oxford,2015,8,21.3,13.0,0.0,57.2,135.3
Oxford,2015,9,18.4,8.9,0.0,36.8,164.3
Oxford,2015,10,15.1,7.9,0.0,45.0,84.1
Oxford,2015,11,13.1,7.3,2.0,65.3,33.8
Oxford,2015,12,13.4,8.3,0.0,62.9,38.3
Oxford,2016,1,9.4,3.0,5.0,83.9,59.1
Oxford,2016,2,9.1,2.7,6.0,47.6,112.9
Oxford,2016,3,10.2,2.2,4.0,74.2,123.8
Oxford,2016,4,12.9,4.0,1.0,53.1,163.7
Oxford,2016,5,18.4,8.7,0.0,86.1,202.9
Oxford,2016,6,20.0,11.9,0.0,95.7,100.4
Oxford,2016,7,23.3,13.8,0.0,3.4,227.6
Oxford,2016,8,23.5,13.6,0.0,41.2,204.5
Oxford,2016,9,20.9,13.0,0.0,44.6,113.2
Oxford,2016,10,15.1,7.3,0.0,26.5,112.2
Oxford,2016,11,9.4,3.3,3.0,76.1,88.3
Oxford,2016,12,9.6,3.0,10.0,25.8,62.3
Oxford,2017,1,7.3,0.8,16.0,62.8,64.6
Oxford,2017,2,9.5,4.0,1.0,42.8,58.4
Oxford,2017,3,13.7,5.8,0.0,43.1,115.6
Oxford,2017,4,15.1,4.7,0.0,5.4,174.6
Oxford,2017,5,19.0,9.4,0.0,63.6,169.4
Oxford,2017,6,22.7,12.9,0.0,29.7,213.3
Oxford,2017,7,23.3,13.9,0.0,62.3,179.2
Oxford,2017,8,21.4,12.6,0.0,62.8,176.1
Oxford,2017,9,18.5,10.4,0.0,64.6,119.4
Oxford,2017,10,16.1,9.7,0.0,17.1,97.7
Oxford,2017,11,10.7,3.8,3.0,48.4,99.6
Oxford,2017,12,8.3,2.6,10.0,74.2,55.5
Oxford,2018,1,8.9,3.0,4.0,59.1,67.7
Oxford,2018,2,6.4,0.3,14.0,24.1,117.6
Oxford,2018,3,9.1,2.5,6.0,87.4,79.0
Oxford,2018,4,14.2,7.5,0.0,52.8,121.5
Oxford,2018,5,19.9,8.6,0.0,80.8,234.1
Oxford,2018,6,22.8,11.6,0.0,2.5,252.2
Oxford,2018,7,27.4,14.2,0.0,23.2,280.9
Oxford,2018,8,23.4,13.2,0.0,43.2,198.6
Oxford,2018,9,20.4,10.0,0.0,30.3,169.8
Oxford,2018,10,15.6,7.3,2.0,50.1,117.3
Oxford,2018,11,11.7,5.5,2.0,61.9,82.7
Oxford,2018,12,10.2,4.7,3.0,71.8,53.8
Oxford,2019,1,7.2,1.0,16.0,28.6,50.0
Oxford,2019,2,11.8,2.3,8.0,36.0,127.8
Oxford,2019,3,12.7,5.1,0.0,37.7,128.3
Oxford,2019,4,15.1,4.3,5.0,21.7,158.2
Oxford,2019,5,18.0,7.2,0.0,21.3,203.6
Oxford,2019,6,20.4,10.7,0.0,99.5,165.4
Oxford,2019,7,24.5,13.7,0.0,42.9,212.4
Oxford,2019,8,23.9,13.2,0.0,46.9,215.4
Oxford,2019,9,20.6,10.4,0.0,77.9,176.5
Oxford,2019,10,14.5,7.3,0.0,119.9,83.7
Oxford,2019,11,9.6,4.1,3.0,105.6,55.3
Oxford,2019,12,9.4,3.6,5.0,88.1,72.7
Oxford,2020,1,9.6,4.5,3.0,50.0,71.5
Oxford,2020,2,10.5,3.6,3.0,94.6,88.8
Oxford,2020,3,11.4,3.0,4.0,39.9,158.7
Oxford,2020,4,17.8,5.4,1.0,42.9,232.2
Oxford,2020,5,20.4,7.6,1.0,3.5,322.8
Oxford,2020,6,21.6,11.6,0.0,67.1,206.1
Oxford,2020,7,22.5,12.7,0.0,55.2,201.7
Oxford,2020,8,23.5,14.5,0.0,113.7,172.1
Oxford,2020,9,20.0,10.2,0.0,26.6,174.7
Oxford,2020,10,14.2,8.3,0.0,185.3,72.4
Oxford,2020,11,11.9,6.0,5.0,35.4,62.4
Oxford,2020,12,8.0,3.1,7.0,99.4,60.7
Oxford,2021,1,6.6,1.3,13.0,114.6,41.8
Oxford,2021,2,8.9,2.6,8.0,55.2,73.7
Oxford,2021,3,11.6,3.9,1.0,29.5,105.8
Oxford,2021,4,12.5,1.6,8.0,27.1,213.3
Oxford,2021,5,15.7,6.6,0.0,94.5,159.4
Oxford,2021,6,21.4,12.2,0.0,68.4,181.8
Oxford,2021,7,23.7,14.2,0.0,67.7,210.4
Oxford,2021,8,21.0,13.0,0.0,34.8,143.3
Oxford,2021,9,21.6,12.1,0.0,43.6,148.8
Oxford,2021,10,16.2,9.7,0.0,92.2,104.5
Oxford,2021,11,10.9,4.3,4.0,18.2,73.0
Oxford,2021,12,9.8,4.9,2.0,67.1,33.4
Oxford,2022,1,8.4,1.4,12.0,19.9,86.5
Oxford,2022,2,11.1,4.1,0.0,62.7,99.1
Oxford,2022,3,12.7,4.0,2.0,40.9,154.3
Oxford,2022,4,15.3,4.7,3.0,13.8,182.7
Oxford,2022,5,19.0,9.7,0.0,41.9,202.0
