station,year,month,tmax,tmin,af,rain,sun
Armagh,1853,1,,,,57.3,
Armagh,1853,2,,,,32.3,
Armagh,1853,3,,,,65.5,
Armagh,1853,4,,,,46.2,
Armagh,1853,5,,,,13.2,
Armagh,1853,6,,,,53.3,
Armagh,1853,7,,,,78.0,
Armagh,1853,8,,,,56.6,
Armagh,1853,9,,,,24.5,
Armagh,1853,10,,,,94.8,
Armagh,1853,11,,,,75.5,
Armagh,1853,12,,,,39.1,
Armagh,1854,1,,,,78.9,
Armagh,1854,2,,,,38.8,
Armagh,1854,3,,,,41.2,
Armagh,1854,4,,,,4.5,
Armagh,1854,5,,,,73.5,
Armagh,1854,6,,,,115.4,
Armagh,1854,7,,,,133.1,
Armagh,1854,8,,,,65.6,
Armagh,1854,9,,,,42.4,
Armagh,1854,10,,,,73.6,
Armagh,1854,11,,,,63.0,
Armagh,1854,12,,,,107.2,
Armagh,1855,1,,,,7.3,
Armagh,1855,2,,,,38.7,
Armagh,1855,3,,,,54.2,
Armagh,1855,4,,,,34.2,
Armagh,1855,5,,,,62.2,
Armagh,1855,6,,,,60.2,
Armagh,1855,7,,,,71.5,
Armagh,1855,8,,,,83.3,
Armagh,1855,9,,,,37.4,
Armagh,1855,10,,,,81.9,
Armagh,1855,11,,,,17.4,
Armagh,1855,12,,,,54.3,
Armagh,1856,1,,,,58.7,
Armagh,1856,2,,,,38.8,
Armagh,1856,3,,,,21.1,
Armagh,1856,4,,,,26.3,
Armagh,1856,5,,,,107.4,
Armagh,1856,6,,,,58.1,
Armagh,1856,7,,,,39.4,
Armagh,1856,8,,,,66.9,
Armagh,1856,9,,,,80.1,
Armagh,1856,10,,,,36.5,
Armagh,1856,11,,,,36.1,
Armagh,1856,12,,,,90.5,
Armagh,1857,1,,,,82.7,
Armagh,1857,2,,,,41.6,
Armagh,1857,3,,,,99.3,
Armagh,1857,4,,,,112.2,
Armagh,1857,5,,,,31.6,
Armagh,1857,6,,,,47.5,
Armagh,1857,7,,,,70.5,
Armagh,1857,8,,,,76.0,
Armagh,1857,9,,,,45.7,
Armagh,1857,10,,,,40.2,
Armagh,1857,11,,,,84.6,
Armagh,1857,12,,,,42.7,
Armagh,1858,1,,,,37.0,
Armagh,1858,2,,,,32.8,
Armagh,1858,3,,,,27.4,
Armagh,1858,4,,,,133.8,
Armagh,1858,5,,,,83.9,
Armagh,1858,6,,,,26.3,
Armagh,1858,7,,,,78.5,
Armagh,1858,8,,,,84.6,
Armagh,1858,9,,,,47.1,
Armagh,1858,10,,,,61.8,
Armagh,1858,11,,,,30.1,
Armagh,1858,12,,,,93.2,
Armagh,1859,1,,,,72.1,
Armagh,1859,2,,,,36.4,
Armagh,1859,3,,,,64.9,
Armagh,1859,4,,,,62.1,
Armagh,1859,5,,,,10.3,
Armagh,1859,6,,,,33.7,
Armagh,1859,7,,,,47.0,
Armagh,1859,8,,,,81.8,
Armagh,1859,9,,,,102.2,
Armagh,1859,10,,,,38.7,
Armagh,1859,11,,,,84.9,
Armagh,1859,12,,,,63.2,
Armagh,1860,1,,,,89.3,
Armagh,1860,2,,,,28.4,
Armagh,1860,3,,,,52.5,
Armagh,1860,4,,,,37.4,
Armagh,1860,5,,,,78.3,
Armagh,1860,6,,,,94.6,
Armagh,1860,7,,,,34.9,
Armagh,1860,8,,,,126.0,
Armagh,1860,9,,,,23.1,
Armagh,1860,10,,,,56.1,
Armagh,1860,11,,,,47.4,
Armagh,1860,12,,,,54.2,
Armagh,1861,1,,,,86.4,
Armagh,1861,2,,,,68.0,
Armagh,1861,3,,,,126.4,
Armagh,1861,4,,,,28.7,
Armagh,1861,5,,,,23.9,
Armagh,1861,6,,,,158.9,
Armagh,1861,7,,,,115.8,
Armagh,1861,8,,,,138.5,
Armagh,1861,9,,,,103.4,
Armagh,1861,10,,,,69.0,
Armagh,1861,11,,,,81.8,
Armagh,1861,12,,,,54.5,
Armagh,1862,1,,,,118.8,
Armagh,1862,2,,,,25.1,
Armagh,1862,3,,,,77.1,
Armagh,1862,4,,,,69.8,
Armagh,1862,5,,,,109.3,
Armagh,1862,6,,,,87.0,
Armagh,1862,7,,,,103.6,
Armagh,1862,8,,,,60.5,
Armagh,1862,9,,,,43.9,
Armagh,1862,10,,,,121.0,
Armagh,1862,11,,,,46.0,
Armagh,1862,12,,,,84.4,
Armagh,1863,1,,,,72.1,
Armagh,1863,2,,,,20.5,
Armagh,1863,3,,,,42.9,
Armagh,1863,4,,,,44.1,
Armagh,1863,5,,,,41.9,
Armagh,1863,6,,,,106.4,
Armagh,1863,7,,,,6.7,
Armagh,1863,8,,,,88.9,
Armagh,1863,9,,,,99.3,
Armagh,1863,10,,,,144.5,
Armagh,1863,11,,,,78.0,
Armagh,1863,12,,,,52.0,
Armagh,1864,1,,,,46.3,
Armagh,1864,2,,,,35.6,
Armagh,1864,3,,,,58.6,
Armagh,1864,4,,,,50.2,
Armagh,1864,5,,,,47.2,
Armagh,1864,6,,,,57.8,
Armagh,1864,7,,,,43.5,
Armagh,1864,8,,,,56.4,
Armagh,1864,9,,,,71.6,
Armagh,1864,10,,,,63.2,
Armagh,1864,11,,,,144.1,
Armagh,1864,12,,,,53.9,
Armagh,1865,1,,,,73.9,
Armagh,1865,2,,,,114.3,
Armagh,1865,3,,,,59.0,
Armagh,1865,4,14.8,5.5,0.0,25.7,
Armagh,1865,5,15.7,8.0,0.0,108.9,
Armagh,1865,6,21.0,11.6,0.0,16.0,
Armagh,1865,7,20.5,12.5,0.0,51.8,
Armagh,1865,8,19.0,11.4,0.0,88.0,
Armagh,1865,9,20.4,11.6,0.0,12.4,
Armagh,1865,10,13.7,6.8,0.0,139.8,
Armagh,1865,11,9.6,3.1,2.0,52.3,
Armagh,1865,12,9.7,4.9,0.0,90.8,
Armagh,1866,1,8.2,2.5,4.0,110.4,
Armagh,1866,2,7.7,0.9,8.0,64.0,
Armagh,1866,3,8.3,1.7,12.0,66.6,
Armagh,1866,4,12.2,4.6,1.0,52.9,
Armagh,1866,5,15.0,5.7,0.0,40.2,
Armagh,1866,6,18.5,10.5,0.0,48.0,
Armagh,1866,7,19.9,12.0,0.0,62.4,
Armagh,1866,8,17.9,10.6,0.0,92.5,
Armagh,1866,9,15.1,7.6,0.0,99.3,
Armagh,1866,10,13.5,7.2,0.0,56.0,
Armagh,1866,11,10.2,4.4,0.0,85.0,
Armagh,1866,12,9.5,3.4,3.0,,
Armagh,1867,1,4.2,-2.2,18.0,121.0,
Armagh,1867,2,9.8,4.1,0.0,93.6,
Armagh,1867,3,7.0,0.5,13.0,56.1,
Armagh,1867,4,12.8,5.9,0.0,134.2,
Armagh,1867,5,15.4,7.5,0.0,107.6,
Armagh,1867,6,18.9,10.8,0.0,23.2,
Armagh,1867,7,19.6,11.0,0.0,108.4,
Armagh,1867,8,19.9,12.2,0.0,68.1,
Armagh,1867,9,17.1,9.7,0.0,35.4,
Armagh,1867,10,12.8,6.6,0.0,125.2,
Armagh,1867,11,9.0,3.3,4.0,25.0,
Armagh,1867,12,7.8,2.4,9.0,55.6,
Armagh,1868,1,7.3,1.9,7.0,138.2,
Armagh,1868,2,9.9,3.5,3.0,96.8,
Armagh,1868,3,11.2,4.1,1.0,128.1,
Armagh,1868,4,14.1,5.6,0.0,76.7,
Armagh,1868,5,16.9,8.1,0.0,47.8,
Armagh,1868,6,19.9,10.7,0.0,28.8,
Armagh,1868,7,22.9,13.0,0.0,29.3,
Armagh,1868,8,19.7,11.5,0.0,91.1,
Armagh,1868,9,17.1,9.7,0.0,53.8,
Armagh,1868,10,12.0,4.6,1.0,73.1,
Armagh,1868,11,7.9,2.2,6.0,111.7,
Armagh,1868,12,9.5,3.6,2.0,162.9,
Armagh,1869,1,8.5,4.1,2.0,91.6,
Armagh,1869,2,10.4,4.8,0.0,183.1,
Armagh,1869,3,8.1,1.1,10.0,66.0,
Armagh,1869,4,14.5,5.6,0.0,86.8,
Armagh,1869,5,12.6,5.0,0.0,71.3,
Armagh,1869,6,17.9,8.8,0.0,31.4,
Armagh,1869,7,22.5,12.6,0.0,46.0,
Armagh,1869,8,19.7,11.0,0.0,43.8,
Armagh,1869,9,17.0,10.0,0.0,125.7,
Armagh,1869,10,14.2,7.6,0.0,51.0,
Armagh,1869,11,10.4,3.1,9.0,123.7,
Armagh,1869,12,6.2,-0.5,12.0,162.8,
Armagh,1870,1,6.9,1.0,11.0,92.1,
Armagh,1870,2,6.7,0.2,12.0,68.6,
Armagh,1870,3,10.2,2.4,7.0,36.2,
Armagh,1870,4,14.5,5.1,0.0,33.5,
Armagh,1870,5,16.0,7.4,0.0,60.1,
Armagh,1870,6,19.8,10.5,0.0,23.7,
Armagh,1870,7,21.6,12.7,0.0,41.3,
Armagh,1870,8,21.6,11.1,0.0,51.9,
Armagh,1870,9,18.2,10.3,0.0,75.0,
Armagh,1870,10,13.1,5.7,1.0,226.4,
Armagh,1870,11,8.5,2.1,7.0,45.3,
Armagh,1870,12,4.7,-1.5,17.0,91.1,
Armagh,1871,1,5.1,-0.1,14.0,104.8,
Armagh,1871,2,10.2,4.8,0.0,88.5,
Armagh,1871,3,11.6,3.2,4.0,52.7,
